record_id,Make,Model,Damage,Defect,Loading,Maneuver,driverVehicle_id,Plate number,Vehicle type,Engine number,Chassis number,Classification,Insurance details,same
188ce01e-305f-4f17-b6a5-b4e36c492963,Honda,Honda Wave 110 ,None,None,Legal,Cross traffic,35eeb02f-86a3-49b5-990f-a0616d2bcf57,None,Motorcycle,K8900E040601,None,Private,,188ce01e-305f-4f17-b6a5-b4e36c492963
18b2cbf3-8cd7-4bbd-b5a4-e3a2a92dfe6d,RUSI,DLY125,Multiple,None,Overloaded,Left turn,b65749d6-b911-4e64-9344-31275c32ef83,NO PLATE ATTACHED,Motorcycle,,,Private,,18b2cbf3-8cd7-4bbd-b5a4-e3a2a92dfe6d
18b2cbf3-8cd7-4bbd-b5a4-e3a2a92dfe6d,MOTORSTAR,ZEST X 110,Multiple,Lights,Overloaded,Going ahead,c0d15cf4-bdeb-49fc-a5ad-c709b41b9689,NO PLATE ATTACHED,Motorcycle,152FMHQA009993,LAMSXKHF7H0002988,Private,,18b2cbf3-8cd7-4bbd-b5a4-e3a2a92dfe6d
19638acc-1477-46b5-84bc-df6c770076a1,RUSI,,Front,,,,ddf30f68-a389-43d5-bca1-2101ad239d38,,Motorcycle,,,,,19638acc-1477-46b5-84bc-df6c770076a1
19638acc-1477-46b5-84bc-df6c770076a1,HONDA TMX,,Front,,,,0e506bcc-fd8c-4694-bf86-abea0b6a9b39,,Tricycle,KSW00E352857,KSW00350002,,,19638acc-1477-46b5-84bc-df6c770076a1
1aaad693-8b33-483d-bd25-4e13f6cf2f52,ISUZU,1991,Front,None,Legal,Going ahead,48dadb73-a74f-46d4-9a3c-9dc5b6c1f2f5,RKL 329,Others,NRR32C-3003805,6NE1-664888,Private,,1aaad693-8b33-483d-bd25-4e13f6cf2f52
1aaad693-8b33-483d-bd25-4e13f6cf2f52,HONDA,,Front,None,Legal,Diverging,d70e05f1-4705-4c08-9994-d43e009f403e,3955 SA,Motorcycle,,,Private,,1aaad693-8b33-483d-bd25-4e13f6cf2f52
1b85bb0f-2936-4821-bd18-381f2ca435c6,Toyota Corolla ,,Front,None,,Going ahead,9246bbea-0463-4f77-9849-43b45950ef02,VEP 521 ,Car,,,Private,,1b85bb0f-2936-4821-bd18-381f2ca435c6
1c255b2f-9439-46da-bb37-783094e5ce33,Honda Civic,Honda Civic,,,,"""U"" turn",cfa0905e-a0b9-43db-9fea-97085e8c810b, Y891,Car,,,Private,,1c255b2f-9439-46da-bb37-783094e5ce33
1c255b2f-9439-46da-bb37-783094e5ce33,Kawasaki Rouser 180,Kawasaki Rouser 180,,,,,1d603a2f-39ed-4075-b0d9-08990fad1db5,1001-243085 ,Motorcycle,,,Private,,1c255b2f-9439-46da-bb37-783094e5ce33
